<Flood version='3.0' class='BrachistochroneProblem' type='Results'>
<!-- Column data: x y -->
<Results>
0 1
0.01 0.932168
0.02 0.890808
0.03 0.862348
0.04 0.839514
0.05 0.818793
0.06 0.798705
0.07 0.778771
0.08 0.758959
0.09 0.739393
0.1 0.72023
0.11 0.7016
0.12 0.683594
0.13 0.666265
0.14 0.649634
0.15 0.633696
0.16 0.618431
0.17 0.603808
0.18 0.589788
0.19 0.576328
0.2 0.563387
0.21 0.550921
0.22 0.538888
0.23 0.527249
0.24 0.515967
0.25 0.505007
0.26 0.494337
0.27 0.483929
0.28 0.473754
0.29 0.463789
0.3 0.454013
0.31 0.444405
0.32 0.434949
0.33 0.425628
0.34 0.416431
0.35 0.407344
0.36 0.398359
0.37 0.389465
0.38 0.380657
0.39 0.371927
0.4 0.363272
0.41 0.354686
0.42 0.346168
0.43 0.337715
0.44 0.329326
0.45 0.320999
0.46 0.312735
0.47 0.304534
0.48 0.296397
0.49 0.288325
0.5 0.28032
0.51 0.272383
0.52 0.264516
0.53 0.256722
0.54 0.249003
0.55 0.241362
0.56 0.233802
0.57 0.226325
0.58 0.218934
0.59 0.211631
0.6 0.204421
0.61 0.197305
0.62 0.190287
0.63 0.183368
0.64 0.176553
0.65 0.169843
0.66 0.163241
0.67 0.156749
0.68 0.15037
0.69 0.144106
0.7 0.137958
0.71 0.131929
0.72 0.126019
0.73 0.12023
0.74 0.114564
0.75 0.10902
0.76 0.103599
0.77 0.0983018
0.78 0.093127
0.79 0.0880742
0.8 0.0831419
0.81 0.0783284
0.82 0.0736311
0.83 0.069047
0.84 0.064572
0.85 0.0602014
0.86 0.0559297
0.87 0.0517501
0.88 0.0476547
0.89 0.0436346
0.9 0.0396791
0.91 0.0357763
0.92 0.0319123
0.93 0.0280715
0.94 0.0242359
0.95 0.0203853
0.96 0.0164969
0.97 0.0125449
0.98 0.00850047
0.99 0.00433097
1 0
</Results>
